Date,SO2 (ppb),O3 (ppb),PM 2.5  (μg/m 3 ),NO2 (ppb)
2016/05/18,2.7,35.3,0.0,18.96
2016/05/17,2.6,33.8,0.0,21.1
2016/05/17,0.0,0.0,15,0.0
2016/05/16,2,24.6,0.0,15.88
2016/05/16,0.0,0.0,8,0.0
2016/05/15,3.1,34.9,0.0,12.89
2016/05/15,0.0,0.0,29,0.0
2016/05/14,2.5,47,0.0,12.05
2016/05/14,0.0,0.0,24,0.0
2016/05/13,3.3,44.6,0.0,16.43
2016/05/13,0.0,0.0,25,0.0
2016/05/12,3.9,36.9,0.0,25.72
2016/05/12,0.0,0.0,31,0.0
2016/05/11,2.2,33.6,0.0,20.99
2016/05/11,0.0,0.0,22,0.0
2016/05/10,1.9,19.2,0.0,12.76
2016/05/10,0.0,0.0,12,0.0
2016/05/09,2.9,24.6,0.0,13.93
2016/05/09,0.0,0.0,17,0.0
2016/05/08,2.9,27.9,0.0,12.48
2016/05/08,0.0,0.0,27,0.0
2016/05/07,0.0,0.0,18,0.0
2016/05/07,2.8,23.2,0.0,14.53
2016/05/06,0.0,0.0,18,0.0
2016/05/06,2.9,23.6,0.0,13.83
2016/05/05,2.8,28.3,0.0,12.81
2016/05/05,0.0,0.0,21,0.0
2016/05/04,2.5,20.8,0.0,16.32
2016/05/04,0.0,0.0,24,0.0
2016/05/03,2.3,19.7,0.0,11.7
2016/05/03,0.0,0.0,19,0.0
2016/05/02,0.0,0.0,22,0.0
2016/05/02,1.7,28.1,0.0,14.47
2016/05/01,0.0,0.0,18,0.0
2016/05/01,1.5,28.7,0.0,15.5
2016/04/30,0.0,0.0,69,0.0
2016/04/29,3.4,55.5,0.0,23.76
2016/04/29,0.0,0.0,47,0.0
2016/04/28,0.0,0.0,20,0.0
2016/04/28,2.2,37.4,0.0,16.86
2016/04/27,0.0,0.0,18,0.0
2016/04/27,2.9,18.9,0.0,13.32
2016/04/26,0.0,0.0,39,0.0
2016/04/26,3.2,33.2,0.0,15.41
2016/04/25,3.4,18.5,0.0,24.92
2016/04/25,0.0,0.0,26,0.0
2016/04/24,1.4,19.5,0.0,13.73
2016/04/24,0.0,0.0,15,0.0
2016/04/23,0.0,0.0,19,0.0
2016/04/23,3,24.2,0.0,14.13
2016/04/22,2.3,23.2,0.0,13.43
2016/04/22,0.0,0.0,22,0.0
2016/04/21,2.9,21.9,0.0,16.45
2016/04/21,0.0,0.0,35,0.0
2016/04/20,3.9,36,0.0,26.16
2016/04/20,0.0,0.0,38,0.0
2016/04/19,2.2,45.5,0.0,20.83
2016/04/19,0.0,0.0,20,0.0
2016/04/18,2,28.5,0.0,19.87
2016/04/18,0.0,0.0,12,0.0
2016/04/17,0.0,0.0,23,0.0
2016/04/17,2.7,17.5,0.0,12.27
2016/04/16,0.0,0.0,23,0.0
